kernel,n_true,events,seed,fitter,n_events,n_hat,se_n,converged,loglik,ks_stat,ks_p,seconds,beta_hat
exp,0.3,500,8,grid_default_const,494,0.3863843354801095,0.051322233021337184,True,-535.0258954512317,0.031269321007058926,0.7073577602688599,0.027248700003838167,
exp,0.3,500,8,grid_default_spline2min,494,0.3741215898158053,0.051688623107352984,True,-532.8903374100993,0.029893113774298874,0.7576382069506422,0.034706799997366033,
exp,0.3,500,9,exp_true_beta,487,0.29537448814087025,0.04173929020749075,True,-554.4465003590918,0.022050455951454828,0.9677182850511203,0.004828000004636124,
exp,0.3,500,9,exp_profile,487,0.2925252032314363,0.041387871168527504,True,-554.4407252378537,0.022164206449511004,0.9661992891552588,0.12900829999125563,2.065215067629714
exp,0.3,500,9,grid_decade_const,487,0.3324199533085949,0.05098560946649734,True,-554.2957875025159,0.025867891518624675,0.8917882626239811,0.008441300000413321,
exp,0.3,500,9,grid_default_const,487,0.32072105108041704,0.08039747142047665,True,-553.8254709413685,0.025766361226633228,0.8944494339728978,0.019339300008141436,
exp,0.3,500,9,grid_default_spline2min,487,0.3102293524370987,0.05307145494957001,True,-553.0884263178654,0.023466226693634185,0.9455460970927563,0.020784299995284528,
exp,0.3,500,10,exp_true_beta,497,0.32549657508722285,0.04188744788151485,True,-549.0983339297744,0.020244514241899325,0.9845422393909389,0.004546800002572127,
exp,0.3,500,10,exp_profile,497,0.3249444480945748,0.041829823079864145,True,-549.098080408388,0.020362057597627825,0.9835724549410692,0.14786570001160726,2.010041655969211
exp,0.3,500,10,grid_decade_const,497,0.368868071392935,0.052167905975260165,True,-550.6830671588666,0.030867400804859946,0.7187966714201817,0.01401899999473244,
exp,0.3,500,10,grid_default_const,497,0.3381461932943107,0.05426916469409499,True,-548.9952665138037,0.028043119902649405,0.818615709794785,0.01725839999562595,
exp,0.3,500,10,grid_default_spline2min,497,0.3189306881260083,0.05444598063675988,True,-545.8984123040209,0.026994445649330068,0.8520499356542458,0.02012770000146702,
exp,0.3,500,11,exp_true_beta,493,0.27913952048828355,0.04265989042683189,True,-562.7514485262983,0.020654848683412164,0.9817285311943493,0.004822300004889257,
exp,0.3,500,11,exp_profile,493,0.2855695168069561,0.04350156411871773,True,-562.7297383111375,0.02190895202091514,0.9678351552078602,0.13965789999929257,1.8731470684756288
exp,0.3,500,11,grid_decade_const,493,0.32513397751439643,0.05310828604594251,True,-562.5888988261913,0.026783120615510914,0.8616549549411775,0.0071164000110002235,
exp,0.3,500,11,grid_default_const,493,0.3073081262213755,0.05598985697324977,True,-561.9856543039292,0.020813257392355233,0.9802577788198635,0.019037999998545274,
exp,0.3,500,11,grid_default_spline2min,493,0.2857813001022651,0.056905801811862756,True,-559.2385822297379,0.022574405808045483,0.9582612896125801,0.018724199995631352,
exp,0.3,500,12,exp_true_beta,576,0.331331390414013,0.041069744187201045,True,-557.0735241356506,0.024104636326122253,0.8831681248632773,0.0049220999935641885,
exp,0.3,500,12,exp_profile,576,0.3085170847822268,0.038495076966028975,True,-556.5016860958126,0.027064426360214777,0.7821426511590759,0.13462969999818597,2.4937193413199483
exp,0.3,500,12,grid_decade_const,576,0.36671665689382965,0.05217476871483941,True,-561.9429315158226,0.03824737831856617,0.35938542505979176,0.006983100000070408,
exp,0.3,500,12,grid_default_const,576,0.3109589948807111,0.05460236336990761,True,-556.9600518995946,0.029305022641220507,0.6943214396190553,0.011505599992233329,
exp,0.3,500,12,grid_default_spline2min,576,0.2844965937030562,0.05415129729676371,True,-551.9671561706599,0.03585298146357696,0.4393772554589347,0.013850599993020296,
exp,0.3,500,13,exp_true_beta,486,0.21443835877897457,0.04294227169515846,True,-573.3323433866996,0.0298792710775595,0.7667081561422069,0.004567399999359623,
exp,0.3,500,13,exp_profile,486,0.23055363801825415,0.04558352687852514,True,-573.1699476089466,0.03210314105360296,0.6859353078013901,0.1394321999978274,1.6743528058300212
exp,0.3,500,13,grid_decade_const,486,0.26436138859730773,0.056025910981226806,True,-574.472326817804,0.04381603038217402,0.29954922891546687,0.011196899999049492,
exp,0.3,500,13,grid_default_const,486,0.241599636758563,0.05891707429126114,True,-573.8084064373288,0.034040341233393445,0.6139731824400234,0.011581300001125783,
exp,0.3,500,13,grid_default_spline2min,486,0.23796848607802712,0.05884341780837265,True,-572.7917583778944,0.033531805572674434,0.6328401137037969,0.015521499997703359,
exp,0.3,500,14,exp_true_beta,466,0.27907352548484127,0.041993541090186146,True,-554.8235294743066,0.030751682634167332,0.7582168395486449,0.004955599986715242,
exp,0.3,500,14,exp_profile,466,0.2759940232247135,0.04158998375667091,True,-554.8105883999743,0.03203055697308943,0.7129210164218021,0.13361109999823384,2.0736486539347134
exp,0.3,500,14,grid_decade_const,466,0.3226487561327152,0.05161304059472231,True,-556.6766605167082,0.05305479530914575,0.13996305493912786,0.009041700002853759,
