scenario,seed,fitter,n_events,n_hat,se_n,mu_mean_hat,converged,condition_number,alpha_slowest_two,n_true,n_true_within_10s,ks_stat,ks_p,lb_stat,lb_p,dispersion_z,dispersion_p,executions_per_event
near_critical_0.95,0,grid_const,2745,0.9719859253158353,0.01906906759095822,0.1281737760366356,True,46.107186344302555,1.1091028190901185e-13,0.95,0.95,0.013395671237612428,0.7029177252788297,4.156229174357394,0.9400240813583212,-0.4035898094510103,0.6865143806028317,
near_critical_0.95,0,grid_spline2min,2745,0.9691507567692118,0.01935064619931138,0.14114446243529202,True,48.88520079325285,1.1091028190901185e-13,0.95,0.95,0.012929241599817898,0.7433260077077789,4.3332192952878374,0.9310654708830689,-0.47473335159921703,0.6349770428984622,
near_critical_0.95,0,grid_spline1min,2745,0.9665088825396714,0.019452558372841766,0.15323091802267147,True,49.67939359596485,1.1091028190901185e-13,0.95,0.95,0.014552938918928282,0.6009389180256803,3.890582694320152,0.952148002707751,-0.7468732715283315,0.45514006140990804,
near_critical_0.95,1,grid_const,2546,0.9520364914518271,0.020055443550991092,0.20992656992680497,True,35.55861262121495,2.0136306076352374e-13,0.95,0.95,0.022419333313985157,0.15233418767504003,8.953419913902769,0.5365298494772357,-1.470520434073099,0.14142085554622785,
near_critical_0.95,1,grid_spline2min,2546,0.9430986483646079,0.02088957644637607,0.24766302578503774,True,38.11243789292353,2.0136306076352374e-13,0.95,0.95,0.02237123637814642,0.1540173248536606,8.31855296369414,0.597751819003255,-1.4977517559786784,0.1341977594605811,
near_critical_0.95,1,grid_spline1min,2546,0.932191564013999,0.021588620492880628,0.29359206566776774,True,41.84031607219935,2.0136306076352374e-13,0.95,0.95,0.023605062094534335,0.11530858663180121,8.23614566787198,0.6057826201175371,-1.5516246094087014,0.12075207121714862,
near_critical_0.95,2,grid_const,2170,0.9553753321425208,0.02148787422133443,0.16464292094867544,True,32.542478268292996,1.6162608978778816e-13,0.95,0.95,0.019612938291783677,0.369430748694037,5.317770664716672,0.868965268072871,-1.0169140631312281,0.30919431267599984,
near_critical_0.95,2,grid_spline2min,2170,0.9520596022066495,0.021596575070943872,0.17660964752038286,True,34.307380106990095,1.6162608978778816e-13,0.95,0.95,0.0204726073338361,0.3186712495749304,5.96416753743102,0.81826469011679,-1.0968878390188526,0.27269042545811994,
near_critical_0.95,2,grid_spline1min,2170,0.9469647396913244,0.02188060427461445,0.19500165052827237,True,35.790962114109846,1.6162608978778816e-13,0.95,0.95,0.020623305400014558,0.31028725504829624,6.654013029567138,0.7576544741645365,-1.106054787056362,0.2687028065902691,
near_critical_0.95,3,grid_const,2258,0.9475368655818636,0.021283789145937575,0.19781249549664043,True,32.35167549185029,1.5925846800341363e-13,0.95,0.95,0.0287877843900628,0.04646962805634414,3.461221367512964,0.9683987011748798,-0.7361580554568511,0.46163451519130216,
near_critical_0.95,3,grid_spline2min,2258,0.9411310299574477,0.02155080893746236,0.22193500859701568,True,35.81567327658298,1.5925846800341363e-13,0.95,0.95,0.02882910879452305,0.045971256110834746,2.87894094558858,0.984131063937422,-0.6984967932393089,0.48486656261795646,
near_critical_0.95,3,grid_spline1min,2258,0.9347097343983672,0.02184527304931179,0.246113627540866,True,37.12656177667432,1.5925846800341363e-13,0.95,0.95,0.029913743178228258,0.03444909883663594,3.1662468219362063,0.9772364025702518,-0.857017870198674,0.3914350085889782,
near_critical_0.95,4,grid_const,822,0.9054385486405686,0.035486237777534964,0.1291602411975021,True,36.33739361145749,0.006012685642280716,0.95,0.95,0.023619422442685445,0.7394985397042108,20.896206977865027,0.02182906062548068,-0.32416722171671497,0.7458114365577775,
near_critical_0.95,4,grid_spline2min,822,0.8905950160824382,0.03441235772067448,0.14959257922143193,True,33.696446410645734,3.7786392616030096e-13,0.95,0.95,0.02451341749687891,0.6969969642218601,18.468751235170423,0.04755283192898009,-0.5466042750076612,0.5846506314452085,
near_critical_0.95,4,grid_spline1min,822,0.8882892873663829,0.03447245527139233,0.1527558171861989,True,34.142679992721,3.7786392616030096e-13,0.95,0.95,0.02403062278707968,0.7200695466177371,17.115958472643268,0.07183717164765335,-0.5759926613285316,0.5646201419643487,
near_critical_0.95,5,grid_const,1332,0.9221104668845029,0.027495873635393058,0.1728681817188362,True,20.740024058213386,2.8091920001517725e-13,0.95,0.95,0.018842530159266957,0.7241931640472328,11.983660473169431,0.2861515335312757,0.013106753814342034,0.9895426228970486,
near_critical_0.95,5,grid_spline2min,1332,0.9162004066818158,0.027708761764873933,0.18599068725039358,True,22.686796986625776,2.8091920001517725e-13,0.95,0.95,0.020009476956494465,0.6528124575778987,12.13591601876369,0.27606315820102284,-0.09068303490809478,0.9277444512647299,
