fitter,t0,t1,t_mid,n_events,n,n_within_10s,mu_mean,converged,loglik_per_event,gain_over_poisson_per_event,ks_stat,ks_p,lb_stat,lb_p,dispersion_z,dispersion_p,fit_seconds,heldout_gain_over_poisson_per_event,heldout_gain_kernel_only_per_event,heldout_n_events,boot_n,boot_mean,boot_sd,boot_lo,boot_hi,kernel_phi,mu_grid,boot_abandoned
neural_const,34200.0,34800.0,34500.0,2800,0.6269799918348051,0.612984985924723,1.770451746489242,True,1.463648025960897,0.923202985013748,0.0165535867678756,0.4222727349795692,13.42101108886161,0.2010755643063147,0.7219753554861656,0.4703096294822861,123.64260200000716,1.1875330545675364,1.1819449792650762,2441,20,0.5392864933494537,0.0452079675391819,0.4568327991737758,0.6055603861900861,9.2205e+02 5.5384e+02 3.0846e+02 1.4292e+02 4.9820e+01 1.6725e+01 5.1585e+00 9.2904e-01 2.7014e-01 9.2477e-02 2.4567e-02 4.5907e-03 5.7367e-04 0.0000e+00,1.7705 1.7705 1.7705 1.7705 1.7705 1.7705 1.7705 1.7705 1.7705 1.7705 1.7705 1.7705 1.7705,
neural_const,34500.0,35100.0,34800.0,2415,0.7721582480807799,0.6571318082391995,0.8798694765028803,True,1.3893652163128964,0.9968403054423692,0.0186271773119778,0.3673480868244327,12.938182725322172,0.2271486617286655,1.119458756979134,0.2629444763730409,90.61532680000528,1.114131882896621,1.1132620612800437,2317,20,0.4863588718657962,0.0925478090758493,0.4103208029505759,0.7102613163692573,1.2297e+03 7.0670e+02 2.8506e+02 1.2084e+02 5.0388e+01 1.3647e+01 5.1135e+00 1.2495e+00 2.6883e-01 7.4659e-02 2.7957e-02 1.1966e-02 4.4418e-03 0.0000e+00,0.8799 0.8799 0.8799 0.8799 0.8799 0.8799 0.8799 0.8799 0.8799 0.8799 0.8799 0.8799 0.8799,
neural_const,34800.0,35400.0,35100.0,2441,0.7491819857707434,0.6349003406455677,1.0334356529451791,True,1.595725155145973,1.1924917399691592,0.0254941177120299,0.082319561220354,18.583487473339453,0.0458832875681026,3.022651819293092,0.0025057035903679,90.5666543999978,1.3750090131265895,1.311156610624906,3575,20,0.6393373041464662,0.0609058050895636,0.4777692825959063,0.6919607613503428,1.4252e+03 7.5358e+02 3.4706e+02 1.4495e+02 5.0371e+01 1.4325e+01 4.3155e+00 1.1461e+00 2.4989e-01 5.9627e-02 2.0700e-02 9.6201e-03 4.2612e-03 0.0000e+00,1.0334 1.0334 1.0334 1.0334 1.0334 1.0334 1.0334 1.0334 1.0334 1.0334 1.0334 1.0334 1.0334,
neural_const,35100.0,35700.0,35400.0,2317,0.5820939030359125,0.5476372451811895,1.618969840161263,True,1.4750072395740204,1.1239083703577908,0.0253123105490173,0.1009569906235331,17.11089454694319,0.0719458994671344,2.6226911282047523,0.0087238320987614,78.17423080001026,1.5334970103387655,1.28195000477667,5373,20,0.4981130898819444,0.0277947963734875,0.4399031185812153,0.5302888546303208,9.9695e+02 6.1732e+02 3.2479e+02 1.4505e+02 5.4248e+01 1.6560e+01 4.1126e+00 8.8531e-01 1.8853e-01 4.5580e-02 1.3327e-02 4.4525e-03 1.3538e-03 0.0000e+00,1.6190 1.6190 1.6190 1.6190 1.6190 1.6190 1.6190 1.6190 1.6190 1.6190 1.6190 1.6190 1.6190,
neural_const,35400.0,36000.0,35700.0,3575,0.8439807562215029,0.7438628739448836,0.9345126846561792,True,2.1095330989809384,1.3247422990689766,0.0258647845903166,0.0164443938173885,23.10029575005869,0.0103823630802654,2.918920621476321,0.0035124565246501,234.94120609998936,1.3983876460364164,1.303121928654034,5736,20,0.738881408139376,0.1033697030064782,0.5175879828557887,0.8258930210025632,1.2993e+03 8.7408e+02 4.7282e+02 1.9488e+02 6.0411e+01 1.5981e+01 4.4550e+00 8.8004e-01 2.9854e-01 9.7059e-02 3.2107e-02 1.1711e-02 3.8940e-03 0.0000e+00,0.9345 0.9345 0.9345 0.9345 0.9345 0.9345 0.9345 0.9345 0.9345 0.9345 0.9345 0.9345 0.9345,
neural_const,35700.0,36300.0,36000.0,5373,0.8483927195430309,0.7635524516402654,1.3535745234944576,True,2.515477309422504,1.3232652739098287,0.0203410905105045,0.0231235298438084,12.159426938692835,0.2745283743157016,3.543390044879537,0.0003950179957009,259.53561170000467,1.333154313304946,1.316598023413194,4495,20,0.8090512235267375,0.0259030041010333,0.7589884022948524,0.8391123963326188,1.6715e+03 1.1736e+03 5.7776e+02 2.0729e+02 5.0503e+01 1.4605e+01 4.7776e+00 1.1528e+00 2.8810e-01 8.6237e-02 2.9947e-02 1.0886e-02 3.3479e-03 0.0000e+00,1.3536 1.3536 1.3536 1.3536 1.3536 1.3536 1.3536 1.3536 1.3536 1.3536 1.3536 1.3536 1.3536,
neural_const,36000.0,36600.0,36300.0,5736,0.8189830714239119,0.7699302765145093,1.7993666215965307,True,2.575978086402862,1.3183903593395518,0.0220501956502285,0.0074484027761227,10.048879838131471,0.4362154084189276,3.3492069337529755,0.0008104324200782,266.5778724999982,1.3780169067653532,1.2735835861073073,3717,20,0.7517486925653953,0.0373574658604175,0.6750255885120265,0.8016178143584362,1.9228e+03 1.3409e+03 6.0706e+02 1.9828e+02 4.9034e+01 1.4309e+01 5.4637e+00 9.0485e-01 3.3458e-01 1.1263e-01 3.1760e-02 8.3186e-03 1.9580e-03 0.0000e+00,1.7994 1.7994 1.7994 1.7994 1.7994 1.7994 1.7994 1.7994 1.7994 1.7994 1.7994 1.7994 1.7994,
neural_const,36300.0,36900.0,36600.0,4495,0.8433602184860259,0.7627116719750372,1.1332135916270794,True,2.332169937279379,1.3183786455898048,0.0224550024148356,0.0211712604154189,4.603155301085421,0.916064742339364,2.1761756149132494,0.0295421315626793,206.5368332999933,1.5135536095568594,1.5023673714280463,3857,20,0.7419934028405377,0.0329877511391451,0.6988610572480536,0.7994752706330213,1.8370e+03 1.1630e+03 5.2659e+02 1.8960e+02 4.7761e+01 1.4141e+01 5.5699e+00 8.5199e-01 2.5025e-01 1.0446e-01 3.6612e-02 1.1626e-02 3.1926e-03 0.0000e+00,1.1332 1.1332 1.1332 1.1332 1.1332 1.1332 1.1332 1.1332 1.1332 1.1332 1.1332 1.1332 1.1332,
neural_const,36600.0,37200.0,36900.0,3717,0.8173815457706063,0.7505767105531821,1.0988765530708309,True,2.0979891551712027,1.274246640090097,0.0198783185120149,0.1045742343636798,5.153354926481651,0.8807010048101296,2.2015597766237582,0.027696419847183,235.9822065999906,1.504405404879534,1.5036585750695577,3500,20,0.7656843338280865,0.0371694176456181,0.706730650835797,0.8173733620027679,1.7964e+03 1.1469e+03 5.2045e+02 1.6032e+02 4.8587e+01 1.4679e+01 4.8278e+00 8.9267e-01 2.5226e-01 1.0185e-01 3.9720e-02 1.2423e-02 2.7218e-03 0.0000e+00,1.0989 1.0989 1.0989 1.0989 1.0989 1.0989 1.0989 1.0989 1.0989 1.0989 1.0989 1.0989 1.0989,
neural_const,36900.0,37500.0,37200.0,3857,0.8196349798926406,0.7810144917096773,1.1580964991019629,True,2.367262740362595,1.5065474373705137,0.0211540753519852,0.062467580919728,9.441344450409895,0.4907918984261129,2.078748559893459,0.0376404671420412,248.39955559998637,1.2387110925229663,1.2156217618796494,3131,20,0.778115378326571,0.0242179160498807,0.7412840825981154,0.820887732001341,2.2520e+03 1.3924e+03 5.7729e+02 1.5645e+02 5.1774e+01 1.5422e+01 5.2487e+00 8.5544e-01 2.8097e-01 1.1731e-01 3.8783e-02 9.3849e-03 1.5847e-03 0.0000e+00,1.1581 1.1581 1.1581 1.1581 1.1581 1.1581 1.1581 1.1581 1.1581 1.1581 1.1581 1.1581 1.1581,
