fitter,comparison,corr_n_lograte,slope,raw_diff,activity_adjusted_diff,welch_p,perm_p
exp_const,statement - morning,0.5579662146401388,0.06911822853747342,0.010212855776485674,0.03323570090806006,0.4776986302218207,0.32608369581520924
exp_const,press_conference - morning,0.5579662146401388,0.06911822853747342,0.01896734248287013,0.028189674954829977,0.44117424633480795,0.3034348282585871
exp_const,statement - pre,0.5579662146401388,0.06911822853747342,0.07926481274469516,0.043141341564253526,0.3881149893924698,0.3000349982500875
exp_const,press_conference - statement,0.5579662146401388,0.06911822853747342,0.008754486706384457,-0.005046025953230081,0.9235574475199679,0.8337583120843958
exp_const,close - morning,0.5579662146401388,0.06911822853747342,0.05698601021930133,0.012211095196197994,0.43040633038813375,0.7029648517574121
exp_spline,statement - morning,0.5502508463874402,0.06729469164188674,0.009982107443907207,0.03239754395944565,0.4678727296814352,0.32773361331933404
exp_spline,press_conference - morning,0.5502508463874402,0.06729469164188674,0.020348937443052717,0.029327958362013663,0.43544704438464654,0.28003599820009
exp_spline,statement - pre,0.5502508463874402,0.06729469164188674,0.08115946471613494,0.04598903420076893,0.3368633322151293,0.30123493825308734
exp_spline,press_conference - statement,0.5502508463874402,0.06729469164188674,0.01036682999914551,-0.003069585597431989,0.952526261666986,0.8937053147342633
exp_spline,close - morning,0.5502508463874402,0.06729469164188674,0.04833564677847907,0.004742022295788155,0.6664999719792973,0.8835058247087646
mix_const,statement - morning,0.7895729984425811,0.14345732843625367,0.060603151832994806,0.10838788135317658,0.04186714537718663,0.0016999150042497876
mix_const,press_conference - morning,0.7895729984425811,0.14345732843625367,0.03605628839658692,0.05519756568874117,0.016557738158357073,0.018199090045497725
mix_const,statement - pre,0.7895729984425811,0.14345732843625367,0.2046488350755742,0.12967329274696035,0.07799602049067343,0.09844507774611269
mix_const,press_conference - statement,0.7895729984425811,0.14345732843625367,-0.024546863436407884,-0.053190315664435404,0.17743851246476341,0.11899405029748512
mix_const,close - morning,0.7895729984425811,0.14345732843625367,0.1133958981862837,0.020463978111216783,0.601935088006617,0.5168241587920605
mix_spline,statement - morning,0.8334901408579295,0.15250632304720813,-0.005869933584935261,0.044928958854822676,0.13617923999997808,0.09174541272936353
mix_spline,press_conference - morning,0.8334901408579295,0.15250632304720813,0.047657624461528436,0.06800629434178919,0.008122785430059782,0.001799910004499775
mix_spline,statement - pre,0.8334901408579295,0.15250632304720813,0.16458594491849932,0.08488109885977649,0.18703659698320313,0.20223988800559972
mix_spline,press_conference - statement,0.8334901408579295,0.15250632304720813,0.0535275580464637,0.023077335486966513,0.42111895225619417,0.4861256937153142
mix_spline,close - morning,0.8334901408579295,0.15250632304720813,0.052916584123773536,-0.04587729123173499,0.09744329411341704,0.08549572521373931
neural_const,statement - morning,0.7669201519013441,0.16073397861071118,0.060948313978435475,0.11448778649153525,0.06144034878095528,0.003399830008499575
neural_const,press_conference - morning,0.7669201519013441,0.16073397861071118,0.03898581145350888,0.06043228399273484,0.020454743361080698,0.025398730063496824
neural_const,statement - pre,0.7669201519013441,0.16073397861071118,0.26793613449611436,0.18393124364573932,0.0912330604654984,0.10014499275036248
neural_const,press_conference - statement,0.7669201519013441,0.16073397861071118,-0.021962502524926597,-0.05405550249880041,0.24487705154047146,0.1559422028898555
neural_const,close - morning,0.7669201519013441,0.16073397861071118,0.12223189842728122,0.01810813273039233,0.6365013770570659,0.6081695915204239
neural_mlp,statement - morning,0.8123728835371851,0.17762549618978607,0.007778735890032529,0.06694466616238258,0.11177883627261265,0.0975951202439878
neural_mlp,press_conference - morning,0.8123728835371851,0.17762549618978607,0.0034783956551904804,0.027178675827604453,0.5250075774561033,0.4093795310234488
neural_mlp,statement - pre,0.8123728835371851,0.17762549618978607,0.18927989321786687,0.09644693687199343,0.08405679327510557,0.20328983550822458
neural_mlp,press_conference - statement,0.8123728835371851,0.17762549618978607,-0.004300340234842048,-0.03976599033477814,0.4238468472208137,0.5578221088945553
neural_mlp,close - morning,0.8123728835371851,0.17762549618978607,0.08110723871551428,-0.033958883002612766,0.19750325887897846,0.3896805159742013
