family,variant,fitter,windows,n_mean,n_sd_across_windows,mean_delta_vs_base,mean_abs_delta_vs_base,corr_with_base,ks_reject5,lb_reject5,dispersion_reject5,heldout_gain_kernel_only
base,merge 0 (identical ts),mix_const,77,0.6800869097861703,0.09729100190603776,0.0,0.0,1.0,0.1038961038961039,0.37662337662337664,0.11688311688311688,1.4103722890000652
base,merge 0 (identical ts),mix_spline,77,0.6059875880059673,0.0998551906503298,0.0,0.0,1.0,0.09090909090909091,0.4155844155844156,0.1038961038961039,1.4090851403430662
merge,merge within 10 us,mix_const,77,0.6714058901428088,0.09926649692123744,-0.008681019643361624,0.009799153594804494,0.9968531276973437,0.06493506493506493,0.4025974025974026,0.07792207792207792,1.1950553327609086
merge,merge within 10 us,mix_spline,77,0.5946414601417748,0.10293036706431932,-0.01134612786419263,0.011706703944213356,0.997404051369459,0.05194805194805195,0.37662337662337664,0.05194805194805195,1.1936814590747358
merge,merge within 100 us,mix_const,77,0.6541872689615724,0.10613225077851852,-0.025899640824597996,0.02700269653958686,0.9881070531280118,0.0,0.5064935064935064,0.0,0.8774411335366478
merge,merge within 100 us,mix_spline,77,0.5691932860556662,0.1106020350342129,-0.03679430195030109,0.03686096417533495,0.9886631314575506,0.0,0.5064935064935064,0.0,0.8758251874654165
merge,merge within 1000 us,mix_const,77,0.6273181356113712,0.11747724733113298,-0.05276877417479932,0.05332199578271785,0.9766205111318479,0.0,0.4155844155844156,0.0,0.48232061504839097
merge,merge within 1000 us,mix_spline,77,0.5263252312460912,0.12297631110665383,-0.07966235675987617,0.07966235675987617,0.9746261842576992,0.0,0.4025974025974026,0.0,0.4804036966204029
merge,sided executions only,mix_const,77,0.6637402637614567,0.10040933290245437,-0.01634664602471367,0.02145916863770687,0.9766448816225104,0.05194805194805195,0.42857142857142855,0.05194805194805195,1.24049926815037
merge,sided executions only,mix_spline,77,0.5855325175168631,0.1083008402468995,-0.020455070489104367,0.02289940433602247,0.9819511507335347,0.03896103896103896,0.4675324675324675,0.03896103896103896,1.2389648970927403
rounding,"rounded to 0.001 s + jitter, seed 0",mix_const,77,0.6800241817732234,0.09735063793475447,-6.272801294694618e-05,0.0002701194798399075,0.9999936913819414,0.09090909090909091,0.36363636363636365,0.1038961038961039,1.2904506786637702
rounding,"rounded to 0.001 s + jitter, seed 0",mix_spline,77,0.6058926047522535,0.09989111227330498,-9.49832537138942e-05,0.00026761674518156737,0.9999940227144138,0.09090909090909091,0.4025974025974026,0.06493506493506493,1.2891702666303961
rounding,"rounded to 0.001 s + jitter, seed 1",mix_const,77,0.6800602818664554,0.09727392220621905,-2.662791971485607e-05,0.000250110565763169,0.9999938319228385,0.1038961038961039,0.36363636363636365,0.09090909090909091,1.2890945674721415
rounding,"rounded to 0.001 s + jitter, seed 1",mix_spline,77,0.6059144789117595,0.09981905809600744,-7.310909420787865e-05,0.00028969911022924607,0.9999925904525007,0.1038961038961039,0.4025974025974026,0.06493506493506493,1.2878152701588714
rounding,"rounded to 0.001 s + jitter, seed 2",mix_const,77,0.6800320761117614,0.09729089170235637,-5.483367440902879e-05,0.00033509431038267526,0.99998971470885,0.09090909090909091,0.37662337662337664,0.09090909090909091,1.2878993281885138
rounding,"rounded to 0.001 s + jitter, seed 2",mix_spline,77,0.6059187239322473,0.09985402699874651,-6.886407372003838e-05,0.0003548159303499771,0.9999900611894962,0.09090909090909091,0.4025974025974026,0.07792207792207792,1.2866195035047765
rounding,"rounded to 1 s + jitter, seed 0",mix_const,77,0.6905874457483545,0.09876491874693585,0.010500535962184164,0.02439233691277352,0.9583120054678291,0.025974025974025976,0.44155844155844154,0.025974025974025976,0.25131948324698816
rounding,"rounded to 1 s + jitter, seed 0",mix_spline,77,0.6058721610747079,0.10082172869484589,-0.00011542693125945483,0.022616531672267792,0.95918784082466,0.025974025974025976,0.35064935064935066,0.025974025974025976,0.24990877189939226
rounding,"rounded to 1 s + jitter, seed 1",mix_const,77,0.6909347105706494,0.09969060886500601,0.01084780078447893,0.024318940161864866,0.9592345233966423,0.0,0.37662337662337664,0.0,0.2525794426690048
rounding,"rounded to 1 s + jitter, seed 1",mix_spline,77,0.6068113535393309,0.10157320535148169,0.0008237655333634502,0.02117085034455095,0.9623758518828194,0.0,0.2987012987012987,0.0,0.25112845498451414
rounding,"rounded to 1 s + jitter, seed 2",mix_const,77,0.6905708689156279,0.09908406971183263,0.010483959129457333,0.02417197375476187,0.9604412881216008,0.012987012987012988,0.42857142857142855,0.0,0.2512879391375543
rounding,"rounded to 1 s + jitter, seed 2",mix_spline,77,0.6053819180021083,0.10112567943520176,-0.0006056700038591947,0.022142494927868208,0.9608340770216828,0.012987012987012988,0.36363636363636365,0.012987012987012988,0.24985419093791067
window,5-minute windows,mix_const,155,0.6470403144934294,0.11932945411345768,-0.03622676508089461,0.06689259860183422,0.6738250213097008,0.03870967741935484,0.25161290322580643,0.03225806451612903,1.373881186202898
window,5-minute windows,mix_spline,155,0.5606642411554653,0.1202150170803952,-0.04205959833597544,0.06726099619592088,0.7098351237405379,0.03225806451612903,0.2064516129032258,0.03225806451612903,1.3719776592917858
window,20-minute windows,mix_const,38,0.7075780207360342,0.08135666866459874,0.0370472984747703,0.06355826519168549,0.617119459378278,0.21052631578947367,0.7368421052631579,0.13157894736842105,1.429697145610715
window,20-minute windows,mix_spline,38,0.6452177133784619,0.09037998594943483,0.04071993032332046,0.04978244418439478,0.8319321241922317,0.23684210526315788,0.631578947368421,0.13157894736842105,1.428814771789529
grid,fastest component 1 ms,mix_const,77,0.6799273126959313,0.09733433500362516,-0.00015959709023912114,0.0008615827006964504,0.9999292155231043,0.987012987012987,0.3246753246753247,0.19480519480519481,1.3162772511054555
grid,fastest component 1 ms,mix_spline,77,0.6057954439570694,0.09975925000768877,-0.00019214404889801278,0.001093030064000801,0.9999077754515859,0.987012987012987,0.35064935064935066,0.16883116883116883,1.3150015405159812
