kernel,fitter,n_true,events,mean,sd,bias,rmse,mean_se,coverage95,ks_reject5,converged,mean_events,seconds
exp,exp_true_beta,0.6,5000,0.5929922274500337,0.029248289710631634,-0.00700777254996636,0.029790301745520494,0.027443502649880047,0.94,0.0,1.0,5016.86,0.00854371200024616
exp,exp_profile,0.6,5000,0.5981904870763546,0.03272524070522019,-0.00180951292364544,0.03244683171977116,0.02764460694079258,0.88,0.0,1.0,5016.86,0.1921893199995975
exp,grid_decade_const,0.6,5000,0.6618386575052563,0.03049530884467316,0.06183865750525628,0.06881412752010847,0.03401003496340212,0.56,0.02,1.0,5016.86,0.02040246600168757
exp,grid_default_const,0.6,5000,0.6288475245950489,0.036846508762741426,0.0288475245950489,0.046504747920020774,0.04165252620289056,0.86,0.0,1.0,5016.86,0.04784551999880932
exp,grid_default_spline2min,0.6,5000,0.6093143783692558,0.03289275400559657,0.009314378369255909,0.03386815975450832,0.03707408338785111,0.98,0.0,1.0,5016.86,0.06643023000098765
exp,exp_true_beta,0.9,500,0.8940347919677519,0.053977541352046556,-0.00596520803224801,0.05376697106841388,0.043761132728873234,0.96,0.0,1.0,560.08,0.00686645599984331
exp,exp_profile,0.9,500,0.8944197460769857,0.05333549786085901,-0.005580253923014334,0.05309351240283223,0.04377263835833582,0.94,0.0,1.0,560.08,0.1489055140002165
exp,grid_decade_const,0.9,500,0.904479907916165,0.05111390389177684,0.0044799079161648315,0.05079811140755097,0.04417822830461595,0.96,0.0,1.0,560.08,0.01019805600080872
exp,grid_default_const,0.9,500,0.8998684196939708,0.05260562173530014,-0.00013158030602931082,0.05207707482924964,0.04438507956706255,0.96,0.0,1.0,560.08,0.017593407999374904
exp,grid_default_spline2min,0.9,500,0.8935826767490285,0.053891908350534624,-0.006417323250971479,0.053734840352015895,0.0443401556705348,0.94,0.0,1.0,560.08,0.0430033919995185
exp,exp_true_beta,0.9,2000,0.8953259670122828,0.02203981668177026,-0.004674032987717156,0.02231333756632982,0.023193598777297972,0.96,0.0,1.0,1991.58,0.007512365999573376
exp,exp_profile,0.9,2000,0.8952061991727117,0.021848138172916455,-0.00479380082728819,0.022153438675792555,0.02319169607076879,0.96,0.0,1.0,1991.58,0.16427435199933826
exp,grid_decade_const,0.9,2000,0.9137870217220387,0.01888710854862342,0.013787021722038717,0.023230806699400298,0.023644316769875266,0.92,0.04,1.0,1991.58,0.012457055999839213
exp,grid_default_const,0.9,2000,0.9029479019117642,0.021098622541033993,0.0029479019117641505,0.021093576305307487,0.02403914670559952,1.0,0.02,1.0,1991.58,0.023529551999818068
exp,grid_default_spline2min,0.9,2000,0.8975573468353225,0.022285454086145254,-0.002442653164677424,0.022196287730881576,0.0241115025629721,0.98,0.02,1.0,1991.58,0.044846464000002015
exp,exp_true_beta,0.9,5000,0.8956933157845838,0.015596475299024864,-0.004306684215416223,0.016029116315297798,0.016600291775714874,0.96,0.0,1.0,4969.62,0.009051714000233914
exp,exp_profile,0.9,5000,0.8960935003282754,0.015782205154723596,-0.003906499671724637,0.016104570135214828,0.016602605795606032,0.98,0.0,1.0,4969.62,0.19423276800080203
exp,grid_decade_const,0.9,5000,0.9205435197365002,0.012437616047697471,0.020543519736500083,0.023950712103294785,0.017237214354768084,0.88,0.18,1.0,4969.62,0.018397511999937707
exp,grid_default_const,0.9,5000,0.9054884681156343,0.014952317400576422,0.005488468115634411,0.01578681861525509,0.01753178474289718,0.92,0.02,1.0,4969.62,0.03994114399945829
exp,grid_default_spline2min,0.9,5000,0.8973031319604671,0.015774219234053786,-0.002696868039532916,0.015846847314774204,0.017853925288411156,0.98,0.02,1.0,4969.62,0.060064986000361385
mixture,exp_profile,0.3,500,0.2161969425712244,0.03385416708632803,-0.08380305742877558,0.09025594147166986,0.024183289240277014,0.22,0.06,1.0,508.72,0.1326633339995169
mixture,grid_decade_const,0.3,500,0.3209519664423397,0.0632468801539457,0.020951966442339737,0.06602385470437445,0.06864809848720141,0.88,0.0,1.0,508.72,0.009765804000780918
mixture,grid_default_const,0.3,500,0.3216140123413333,0.057695377445808355,0.02161401234133328,0.06106837951455166,0.07273944207879754,0.9,0.0,1.0,508.72,0.016601038000662812
mixture,grid_default_spline2min,0.3,500,0.29505550165018685,0.048467203263841664,-0.0049444983498131475,0.04823418352481442,0.0523414587825687,0.9,0.0,1.0,508.72,0.02703712800022913
mixture,exp_profile,0.3,2000,0.1980406229379221,0.02473253325570053,-0.10195937706207787,0.10485789816750295,0.014397621902637865,0.0,0.06,1.0,2011.54,0.16548653600009858
mixture,grid_decade_const,0.3,2000,0.3267145444786482,0.0675196178468171,0.026714544478648225,0.07198185677653984,0.07703763193585317,0.9,0.0,1.0,2011.54,0.0147655040002428
mixture,grid_default_const,0.3,2000,0.32541044011867554,0.06323044750213087,0.025410440118675576,0.0675560372470006,0.0737216903707522,0.88,0.0,1.0,2011.54,0.03410703399888007
mixture,grid_default_spline2min,0.3,2000,0.293057718530098,0.048316224999215895,-0.006942281469902022,0.048331808555222754,0.05174159521999806,0.9,0.0,1.0,2011.54,0.04017417199996998
mixture,exp_profile,0.3,5000,0.1820790993912961,0.02276355363081181,-0.11792090060870387,0.12005479826642752,0.010905641073597906,0.0,0.0,1.0,5009.44,0.21289911999891045
mixture,grid_decade_const,0.3,5000,0.3149860256944089,0.0637925247940004,0.014986025694408935,0.06490514202522614,0.06514419007215402,0.86,0.0,1.0,5009.44,0.02362094999960391
mixture,grid_default_const,0.3,5000,0.31582427105509514,0.060542037227880784,0.01582427105509514,0.061987410501594446,0.06488047631875891,0.94,0.0,1.0,5009.44,0.06095757000002777
mixture,grid_default_spline2min,0.3,5000,0.28667323390692134,0.03723037919525713,-0.013326766093078679,0.03919160377965941,0.04764487673336913,0.86,0.0,1.0,5009.44,0.06847582399990643
mixture,exp_profile,0.6,500,0.48313972179024745,0.0356249168656019,-0.11686027820975255,0.1220658700493639,0.03356519665344183,0.06,0.56,1.0,502.08,0.1451684760005446
mixture,grid_decade_const,0.6,500,0.6030572827720581,0.045207881451579404,0.0030572827720580773,0.04485782509642639,0.05621140548603596,0.94,0.0,1.0,502.08,0.011163695998839103
mixture,grid_default_const,0.6,500,0.6032552629423484,0.04538952910761411,0.003255262942348538,0.04505110323158086,0.0558766934372601,0.94,0.0,1.0,502.08,0.023472065998648758
mixture,grid_default_spline2min,0.6,500,0.5821506550126577,0.04779098983158434,-0.01784934498734231,0.05056578142754355,0.05000153929179423,0.9,0.0,1.0,502.08,0.06786654200026533
mixture,exp_profile,0.6,2000,0.4640886727485208,0.02877309400400372,-0.13591132725147922,0.13886404140399577,0.01808072483755144,0.0,1.0,1.0,2037.04,0.15299733399850082
mixture,grid_decade_const,0.6,2000,0.6186361137729408,0.0442362217265601,0.018636113772940895,0.0475921336246502,0.04398387503339901,0.96,0.0,1.0,2037.04,0.012807751999935136
mixture,grid_default_const,0.6,2000,0.6178463635548148,0.04294040907319968,0.01784636355481487,0.046103078518433864,0.042996903736905685,0.98,0.0,1.0,2037.04,0.03038354599964805
mixture,grid_default_spline2min,0.6,2000,0.5983083158154416,0.03714281269270342,-0.0016916841845583707,0.03680840338035639,0.0390519835578367,0.98,0.0,1.0,2037.04,0.057203188000421505
mixture,exp_profile,0.6,5000,0.4338002398580306,0.022264910069723778,-0.16619976014196935,0.1676549193052586,0.012919314105660664,0.0,1.0,1.0,5021.06,0.20543283200153384
mixture,grid_decade_const,0.6,5000,0.6092834336561833,0.0354686276696394,0.009283433656183351,0.036318662120746095,0.0409198225099838,0.96,0.0,1.0,5021.06,0.02236178200080758
