source,fitter,comparison,diff,sign,perm_p
robustness: sided executions only,mix_spline [sided executions only],press_conference - morning,0.029488699429526477,1,0.5145242737863107
robustness: sided executions only,mix_spline [sided executions only],press_conference - statement,0.027405117722680727,1,0.5903204839758012
"robustness: rounded to 0.001 s + jitter, seed 0","mix_const [rounded to 0.001 s + jitter, seed 0]",statement - morning,0.060649344338712385,1,0.271986400679966
"robustness: rounded to 0.001 s + jitter, seed 0","mix_const [rounded to 0.001 s + jitter, seed 0]",press_conference - morning,0.036046366800019825,1,0.34058297085145744
"robustness: rounded to 0.001 s + jitter, seed 0","mix_const [rounded to 0.001 s + jitter, seed 0]",press_conference - statement,-0.02460297753869256,-1,0.5508724563771812
"robustness: rounded to 0.001 s + jitter, seed 0","mix_spline [rounded to 0.001 s + jitter, seed 0]",statement - morning,-0.005831414636132015,-1,0.9130543472826359
"robustness: rounded to 0.001 s + jitter, seed 0","mix_spline [rounded to 0.001 s + jitter, seed 0]",press_conference - morning,0.04751124033666332,1,0.23958802059897005
"robustness: rounded to 0.001 s + jitter, seed 0","mix_spline [rounded to 0.001 s + jitter, seed 0]",press_conference - statement,0.053342654972795334,1,0.20933953302334884
"robustness: rounded to 1 s + jitter, seed 0","mix_const [rounded to 1 s + jitter, seed 0]",statement - morning,0.06571327454251052,1,0.2408879556022199
"robustness: rounded to 1 s + jitter, seed 0","mix_const [rounded to 1 s + jitter, seed 0]",press_conference - morning,0.05721432028087203,1,0.1505424728763562
"robustness: rounded to 1 s + jitter, seed 0","mix_const [rounded to 1 s + jitter, seed 0]",press_conference - statement,-0.008498954261638492,-1,0.7570121493925304
"robustness: rounded to 1 s + jitter, seed 0","mix_spline [rounded to 1 s + jitter, seed 0]",statement - morning,0.023806209322839278,1,0.6841657917104145
"robustness: rounded to 1 s + jitter, seed 0","mix_spline [rounded to 1 s + jitter, seed 0]",press_conference - morning,0.06821677239256385,1,0.11479426028698565
"robustness: rounded to 1 s + jitter, seed 0","mix_spline [rounded to 1 s + jitter, seed 0]",press_conference - statement,0.04441056306972457,1,0.3806809659517024
robustness: 20-minute windows,mix_const [20-minute windows],press_conference - morning,0.015114564641678041,1,0.8057597120143993
robustness: 20-minute windows,mix_spline [20-minute windows],press_conference - morning,0.03407818784913985,1,0.5803209839508024
robustness: 5-minute windows,mix_const [5-minute windows],statement - morning,-0.03547651904056781,-1,0.47082645867706613
robustness: 5-minute windows,mix_const [5-minute windows],press_conference - morning,0.01769173312463268,1,0.6123693815309235
robustness: 5-minute windows,mix_const [5-minute windows],press_conference - statement,0.05316825216520049,1,0.35873206339683017
robustness: 5-minute windows,mix_spline [5-minute windows],statement - morning,-0.019851032254069922,-1,0.6835658217089146
robustness: 5-minute windows,mix_spline [5-minute windows],press_conference - morning,-0.013872248298059775,-1,0.704364781760912
robustness: 5-minute windows,mix_spline [5-minute windows],press_conference - statement,0.0059787839560101474,1,0.903654817259137
