fitter,t0,t1,t_mid,n_events,n,se_n,mu_mean,converged,condition_number,beta_exp,alpha,timescales,edge_window,loglik_per_event,gain_over_poisson_per_event,ks_stat,ks_p,lb_stat,lb_p,dispersion_z,dispersion_p,heldout_gain_over_poisson_per_event,heldout_gain_kernel_only_per_event,heldout_n_events,boot_n,boot_mean,boot_sd,boot_lo,boot_hi
exp_const,34200.0,34800.0,34500.0,2800,0.36712528218363494,0.012020971959631487,2.953415349809704,True,1.1551167694915987,289.0771177788877,0.36713,3.46e-03,True,1.329673033394219,0.78922799244707,0.06752307205992732,1.522201844001458e-11,66.25105099949546,2.3345053665132936e-10,6.4499216994384145,1.1190795400504289e-10,1.001004248210541,0.9991907235564861,2441,100,0.3661024933494447,0.01144255276434264,0.3422817883267796,0.3860032891333519
exp_const,34500.0,35100.0,34800.0,2415,0.3588211094499706,0.012744107232919051,2.58074503446385,True,1.138902621673323,287.43572652978213,0.35882,3.48e-03,True,1.22234697721207,0.8298220663415431,0.07202071106572563,2.4442033940303868e-11,87.19718993530677,1.922172583342718e-14,6.960540529737324,3.3896962214837152e-12,0.9817649885658902,0.9825437620123612,2317,100,0.35631140891952134,0.012359296915674578,0.3321208395757604,0.378720780324746
exp_const,34800.0,35400.0,35100.0,2441,0.34465660686598976,0.012260723447586684,2.6661553710668713,True,1.0935737268290526,548.9892617875897,0.34466,1.82e-03,True,1.4151379074080697,1.011904492231256,0.07272123971326316,1.1355174910588883e-11,84.170209359899,7.60701938144599e-14,8.831485124700292,1.032949364039522e-18,1.1776369284376789,1.134360693638626,3575,100,0.34615393386319954,0.010748662146669436,0.3260136312008959,0.3663952032616776
exp_const,35100.0,35700.0,35400.0,2317,0.362723398021417,0.012956926848482733,2.4609498113072887,True,1.1090086154205854,390.58073071757667,0.36272,2.56e-03,False,1.3382755402583209,0.9871766710420912,0.06635103425316785,2.593676202116454e-09,37.772589673021166,4.1570938001908293e-05,6.674177591039084,2.4862240403408346e-11,1.2555684754042338,1.0817343727773596,5373,100,0.36246399745462987,0.012911572044917134,0.34072566853713204,0.38662952678436807
exp_const,35400.0,36000.0,35700.0,3575,0.40420373678556504,0.010966696570920136,3.5499527349860123,True,1.1048695739891254,591.7480713633319,0.40420,1.69e-03,False,1.9246480856042798,1.1398572856923181,0.06925800550006313,2.3513011561748647e-15,211.50562162588906,6.3925675986979965e-40,14.266736990219641,3.526993805994616e-46,1.1237447271356396,1.071598417650291,5736,100,0.4038060799310468,0.011193000389097478,0.37992454530724196,0.4262581993815248
exp_const,35700.0,36300.0,36000.0,5373,0.3772731988345329,0.008591943192227013,5.576518559904143,True,1.0798268690688002,1400.1574576096848,0.37727,7.14e-04,False,2.3287663501496105,1.1365543146369355,0.07916543301421608,9.77219483752833e-30,245.59775957032525,4.570372290292982e-47,19.764443622214593,6.025904408073785e-87,1.0954122193790503,1.0851058892145353,4495,100,0.37650651577625505,0.007983702506619075,0.35891471349050463,0.39139275424990594
exp_const,36000.0,36600.0,36300.0,5736,0.3601243724864886,0.008109215202746349,6.117211005360475,True,1.0710240115322875,1827.7969459264825,0.36012,5.47e-04,False,2.3653796069181228,1.1077918798548128,0.09550796096956404,5.442118105894542e-46,273.3960381404011,6.433434861540832e-53,21.793178212510153,2.6929670219001354e-105,1.107214715250759,1.0519365615340412,3717,100,0.36078415112697465,0.00774037626287916,0.3458763129537458,0.37528137222463265
exp_const,36300.0,36900.0,36600.0,4495,0.34706790102057283,0.008990559625113146,4.891549642636668,True,1.0682160404714083,1569.926961565864,0.34707,6.37e-04,False,2.1002315039450035,1.0864402122554293,0.10290484281408474,6.777178217335602e-42,207.7789879572665,3.839923589535277e-39,19.579036716879717,2.3339237668759922e-85,1.2547963444361172,1.2531522277394282,3857,100,0.34753068462963277,0.009001783113424663,0.33197570113513875,0.3622451610472116
exp_const,36600.0,37200.0,36900.0,3717,0.33608237561056925,0.00973703021689629,4.112969562249834,True,1.0689874058237419,1346.4150651766943,0.33608,7.43e-04,False,1.88168451819086,1.0579420031097542,0.09482099486159024,1.5454237489280026e-29,106.6324382027363,2.5437331872963877e-18,16.609256836485468,5.972856268464769e-62,1.2788335632916754,1.2818320423429899,3500,100,0.33535461676385525,0.010790969892898418,0.31337319191213275,0.3577004121676053
exp_const,36900.0,37500.0,37200.0,3857,0.3736597230627133,0.010058267598934847,4.026324080245199,True,1.0683367769223988,1326.0918904359467,0.37366,7.54e-04,False,2.115539400632691,1.2548240976406093,0.09057911919401584,5.488442850347211e-28,131.38730758726666,2.4340684337030037e-23,18.370987814749675,2.242922981889805e-75,1.056260392003576,1.0406645718654275,3131,100,0.3738504098178377,0.010954837276410799,0.3524524504238464,0.3931877556813438
exp_const,37200.0,37800.0,37500.0,3500,0.41994544976585296,0.011261443625057958,3.383651543032517,True,1.0968919735394547,704.4408317406328,0.41995,1.42e-03,False,2.0595024798252513,1.2959138875638927,0.08557491184532742,9.520856454997418e-23,115.2470443894993,4.648081889591222e-20,11.325199507069355,9.845445735896669e-30,1.0297963047662957,0.9653454188914575,2371,100,0.4191329073142685,0.011317768451685062,0.3940078358214493,0.4385881951474727
exp_const,37500.0,38100.0,37800.0,3131,0.39420157857745725,0.011595414703638425,3.1612580964424377,True,1.109440519300477,515.3446592184579,0.39420,1.94e-03,False,1.7204943837240783,1.0683163176138188,0.07922633435092458,1.5319869258081545e-17,58.910811617151495,5.821744251450751e-09,6.178444819972457,6.47361064791502e-10,0.960364324739996,0.9273412559860724,2334,100,0.3921177485100836,0.011949322930053644,0.36850858098941086,0.4146197614589642
exp_const,37800.0,38400.0,38100.0,2371,0.30549066748830755,0.01162061613925271,2.744469378975369,True,1.063599705464264,1106.2287435228857,0.30549,9.04e-04,False,1.353505332305921,0.9793679014566619,0.07506421519893836,4.58847133433377e-12,126.8436850965401,2.0549709844029626e-22,7.0600670614446095,1.6642226830261206e-12,0.9503164693640235,0.9450944270109392,2876,100,0.30475519015955543,0.01166387069221555,0.2836960651008191,0.3268186824631081
exp_const,38100.0,38700.0,38400.0,2334,0.28854342634132596,0.01135061055657917,2.767566074139964,True,1.0535345650222872,1261.0842328025522,0.28854,7.93e-04,False,1.3070658973891287,0.9486567397587735,0.10273056913487222,6.724579339804028e-22,148.4840881095506,7.641688642876627e-27,9.755494644388085,1.7474669497026107e-22,1.1920037347305914,1.177013710459576,2850,100,0.2876226994442016,0.011198564071341115,0.26842798604364587,0.3107178776268906
exp_const,38400.0,39000.0,38700.0,2876,0.3028623054579128,0.010520589849707553,3.3416133491717375,True,1.0671051486012744,1118.337697440254,0.30286,8.94e-04,False,1.5123312129116868,0.9451051492868959,0.11697398259565484,9.643152543255913e-35,128.84665879530496,8.028674146641977e-23,13.836589345254303,1.5331003453144703e-43,1.3236738748786612,1.336548152505835,2530,100,0.303051187208272,0.010943450075264325,0.28422956589066295,0.32134903213984983
exp_const,38700.0,39300.0,39000.0,2850,0.45149027300845307,0.013020047104685144,2.6054210601972825,True,1.1271495584423994,320.94815350653755,0.45149,3.12e-03,False,1.7695977537328293,1.2114531356862797,0.10828075005193843,1.4840479283992156e-29,133.8065744636037,7.801884649277603e-24,7.672365449868656,1.6885304615343115e-14,1.3906600107344036,1.3894468913348166,2443,100,0.4504529103692307,0.012367320328538139,0.42655976039581595,0.4720161803369877
exp_const,39000.0,39600.0,39300.0,2530,0.47387188775735184,0.014045216239468326,2.2185068732898277,True,1.1009969705724787,345.0742264362643,0.47387,2.90e-03,False,1.8271294436065721,1.3880845171011527,0.10673235319709627,1.4950522192971383e-25,127.13325262105184,1.794005695406159e-22,5.959174876796558,2.535146946552539e-09,1.3450075061465887,1.3449780857813525,2624,100,0.47569953946575055,0.016228530355555642,0.44422788726913187,0.5059361004900511
exp_const,39300.0,39900.0,39600.0,2443,0.47911172491675963,0.014365192666077541,2.1208834267139274,True,1.1001741890224785,328.65850948706105,0.47911,3.04e-03,False,1.794402295600677,1.390349879559083,0.10773895294821996,3.7755159511836904e-25,71.83720050631511,1.956582774009465e-11,5.182903426111339,2.1845816826602085e-07,1.3283374367313077,1.3294167067594613,2548,100,0.47583989577749863,0.013165059028161747,0.4501128490641794,0.49984987000164527
exp_const,39600.0,40200.0,39900.0,2624,0.44064283761780054,0.013338709356731203,2.446255323484814,True,1.1055985099780903,491.7079117018144,0.44064,2.03e-03,False,1.8242590858188767,1.3487335909710436,0.10186653769764031,3.698836588673631e-24,89.5601656553078,6.546824806840754e-15,7.230921557896219,4.797274007300026e-13,1.3966869907241988,1.3636700171649832,1914,100,0.44106935072616993,0.013552591455212598,0.41927313692148793,0.46682365736128406
exp_const,39900.0,40500.0,40200.0,2548,0.38218297153237596,0.012465305169414263,2.6236629808925134,True,1.0564870024582984,1076.8989874766457,0.38218,9.29e-04,False,1.8072102524920293,1.3610758910161216,0.07924694143073507,2.2958785484127325e-14,153.36709412034372,7.556187016428362e-28,9.893785528790232,4.429539744615784e-23,1.1716803685833965,1.080455305857479,1531,100,0.3828503472257678,0.013253348480791254,0.3581909627346146,0.4082117307182515
exp_const,40200.0,40800.0,40500.0,1914,0.3782921840061468,0.014311901919308173,1.98324793302038,True,1.0566714221121887,947.5783512510033,0.37829,1.06e-03,False,1.5374301361919933,1.37740921939524,0.08537249603416704,1.3837195671479128e-12,117.29081270916531,1.7925401395257815e-20,5.313428537816104,1.0758163656338964e-07,1.1256382475984028,1.1070241275907462,1551,100,0.3772708618921941,0.014415681384477307,0.34815649692650374,0.4022098196796675
exp_const,40500.0,41100.0,40800.0,1531,0.33177055480108614,0.015053303419999305,1.7050988009992307,True,1.0642576996954944,721.9944735182911,0.33177,1.39e-03,False,1.0292596379418986,1.092512897500361,0.08162288367589388,2.546196598760206e-09,34.54627237171003,0.00014919056847109808,3.525656078730331,0.00042243517162229773,1.05635364785514,1.0502831180958165,1858,100,0.3318044527464514,0.013958018323982344,0.3078231737704638,0.35803419345920895
exp_const,40800.0,41400.0,41100.0,1551,0.3183658508462019,0.014629668424173804,1.7620242755625737,True,1.0582264566117352,947.454136487334,0.31837,1.06e-03,False,1.0615785171811258,1.1118530092207333,0.08035243866043938,3.7012683711141887e-09,47.81888144016804,6.697589864789279e-07,5.569254786266726,2.5583115553931068e-08,0.9696371839308283,0.9697987224719382,1745,100,0.3175083359590275,0.013172204112767351,0.29383881799054656,0.3462637113850573
exp_const,41100.0,41700.0,41400.0,1858,0.3170941403145892,0.01335884946743804,2.1147318120690493,True,1.0621044266740602,954.1918684587673,0.31709,1.05e-03,False,1.1824533800593813,1.0521271159017438,0.08353441981757115,9.982833940006127e-12,129.28333951330328,6.540388831103985e-23,8.327762351175876,8.238468468895385e-17,1.0316637702883018,0.9893873587715442,1263,100,0.31755103714150423,0.013424317193361818,0.2914335732071807,0.34339082355125455
exp_const,41400.0,42000.0,41700.0,1745,0.3164345974954163,0.013843130879632494,1.988036045617497,True,1.0770344597054256,670.3261713816581,0.31643,1.49e-03,False,1.0401627062656462,0.9725825268452651,0.08236479245777073,9.56150825801546e-11,139.40070705728675,5.59148474596524e-25,7.812598060011991,5.602102767786065e-15,1.3269675708533122,1.3295599011014072,1390,100,0.3190443177526834,0.013283262886976739,0.29223656784221025,0.3433344224034169
