family,variant,fitter,t0,t1,t_mid,n_events,n,se_n,mu_mean,converged,condition_number,beta_exp,alpha,timescales,edge_window,loglik_per_event,gain_over_poisson_per_event,ks_stat,ks_p,lb_stat,lb_p,dispersion_z,dispersion_p,heldout_gain_over_poisson_per_event,heldout_gain_kernel_only_per_event,heldout_n_events
base,merge 0 (identical ts),mix_const,37200.0,37800.0,37500.0,3500,0.709415374067213,0.03092083548594317,1.6957751219258503,True,136.2013362680181,,0.00206 0.03284 0.10605 0.00000 0.15179 0.00000 0.18752 0.00258 0.06906 0.00000 0.06799 0.08951 0.00000,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,2.2724868016428608,1.5088982093815024,0.02612538954316368,0.016532183906674044,26.42456884050147,0.0032092333318048095,1.999663219311757,0.04553664237558717,1.2229909036075777,1.1381812846251267,2371
base,merge 0 (identical ts),mix_const,37500.0,38100.0,37800.0,3131,0.6926153346898783,0.048210378640777166,1.596436117061053,True,738.9475203469812,,0.01105 0.00000 0.08802 0.03010 0.10659 0.02901 0.17094 0.00418 0.04580 0.00000 0.08960 0.01250 0.10481,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.878671228411113,1.2264931623008535,0.019509880616273678,0.18192059341531852,13.580537647347423,0.19299838743149778,0.45528848831121055,0.648901706933874,1.1966698395827025,1.153330830224276,2334
base,merge 0 (identical ts),mix_const,37800.0,38400.0,38100.0,2371,0.7871832285889029,0.046603431063082394,0.8220556742739382,True,609.6617393319735,,0.00861 0.01235 0.06188 0.05932 0.09396 0.00000 0.15502 0.00000 0.04415 0.00000 0.02006 0.07920 0.25263,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.5287230016827786,1.1545855708335195,0.016722914448711657,0.5156546646277322,11.48847075282588,0.3207478392719773,-0.40186628305565564,0.6877824378794983,1.2097172378150314,1.1922763489497312,2876
base,merge 0 (identical ts),mix_const,38100.0,38700.0,38400.0,2334,0.7740608677048498,0.0482004154691477,0.8810296624617153,True,193.07815081130494,,0.00177 0.03216 0.05001 0.04364 0.10338 0.00000 0.12229 0.04048 0.08909 0.00000 0.00000 0.13245 0.15880,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.5222238489706543,1.1638146913402991,0.017852119259617272,0.44150343132371805,9.474137862250487,0.48777297618965754,-0.18855313179077474,0.8504430691981166,1.4848408289391437,1.4665838718590394,2850
base,merge 0 (identical ts),mix_const,38400.0,39000.0,38700.0,2876,0.7367395416861598,0.04562596593393204,1.2610310950613346,True,490.62042769239844,,0.00000 0.05017 0.03825 0.05054 0.08684 0.00000 0.12291 0.09071 0.08822 0.00000 0.05708 0.05082 0.10122,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.7787535737819387,1.2115275101571479,0.019506708495657943,0.22092566354159937,11.710738972505554,0.30488204995915397,0.4566906838397,0.6478933879478042,1.626473976446236,1.6236395475602474,2530
base,merge 0 (identical ts),mix_const,38700.0,39300.0,39000.0,2850,0.7408971419655764,0.038110842762811854,1.2268309452564208,True,338.99016674162266,,0.00704 0.01876 0.07827 0.06324 0.08156 0.00000 0.18367 0.04040 0.07137 0.00000 0.06629 0.11507 0.01525,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,2.0338428233759243,1.4756982053293746,0.014638496956512509,0.5694212744318623,25.558539291595476,0.004381563852214064,0.025939673717775624,0.9793054556325461,1.6423981880766896,1.6318117045102463,2443
base,merge 0 (identical ts),mix_const,39000.0,39600.0,39300.0,2530,0.7250868557462549,0.028194943790534124,1.1570410294716234,True,108.8557686672539,,0.00690 0.00300 0.10781 0.04002 0.11375 0.00000 0.18747 0.04131 0.04616 0.00000 0.05833 0.12032 0.00000,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,2.0762888965332693,1.6372439700278498,0.013228108201881195,0.7626022110067644,34.18099025535873,0.00017210149806879167,-0.5750817377964875,0.5652360182112416,1.6024682306722458,1.6023168731901736,2624
base,merge 0 (identical ts),mix_const,39300.0,39900.0,39600.0,2443,0.6868371527364971,0.038865874482973455,1.2766301307089705,True,660.5214905878404,,0.00000 0.05206 0.06561 0.02518 0.12856 0.00000 0.19066 0.04744 0.02848 0.01588 0.04989 0.06997 0.01310,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,2.0413655441352483,1.6373131280936544,0.008344025518613248,0.9952123269597134,22.582697771396994,0.012396253964880503,-0.36003459185536973,0.7188212652019287,1.6137997437347995,1.613628236061091,2548
base,merge 0 (identical ts),mix_const,39600.0,40200.0,39900.0,2624,0.7073062553033063,0.043289520392075384,1.2862027266324088,True,895.9184650750176,,0.01816 0.04347 0.07013 0.01317 0.14300 0.00000 0.16635 0.05862 0.00097 0.02130 0.07384 0.04099 0.05730,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,2.086793053362479,1.611267558514646,0.021204788950964948,0.1860836120143443,25.06285014819671,0.0052276390076741045,0.3814351827428413,0.7028803586831829,1.675323094577908,1.6238583563002635,1914
base,merge 0 (identical ts),mix_const,39900.0,40500.0,40200.0,2548,0.7518814015837242,0.04163297453203224,1.0507922200274769,True,329.29011171839454,,0.04383 0.00000 0.10180 0.00166 0.15254 0.00000 0.11064 0.10604 0.00000 0.00000 0.07779 0.00286 0.15471,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,2.0745101650867546,1.6283758036108469,0.01746200534311393,0.41416091098556185,37.01541695332942,5.6246966429533544e-05,0.7402724488082734,0.4591346948977659,1.4235348200263895,1.27161326130989,1531
base,merge 0 (identical ts),mix_const,40200.0,40800.0,40500.0,1914,0.6974431743954708,0.04127958362806336,0.9517763542795187,True,518.0234744837381,,0.05185 0.00000 0.09323 0.00000 0.14086 0.01920 0.08001 0.09687 0.00000 0.01530 0.00063 0.00844 0.19104,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.7969837878389703,1.6369628710422173,0.012901480383939179,0.9034086904166689,47.03253038957413,9.314933713628971e-07,-0.08781302935231287,0.9300252818464255,1.3862180773654258,1.3627559744006197,1551
base,merge 0 (identical ts),mix_const,40500.0,41100.0,40800.0,1531,0.5119251682283222,0.04651942929170613,1.2453260902839913,True,326.1793059740241,,0.04830 0.00000 0.06408 0.00000 0.10996 0.05190 0.09055 0.00000 0.04464 0.03838 0.03036 0.03375 0.00000,1.00e-05 3.16e-05 1.00e-04 3.16e-04 1.00e-03 3.16e-03 1.00e-02 3.16e-02 1.00e-01 3.16e-01 1.00e+00 3.16e+00 1.00e+01,False,1.2279744935719537,1.2912277531304164,0.01584895595327307,0.8305200530332175,14.039640286374643,0.17119115897583298,-0.5416279553749543,0.5880748296237566,1.3391762431447425,1.323622845165521,1858
