scenario,seed,fitter,n_events,n_hat,converged,loglik,n_true,n_true_within_60s,bias,bias_within_60s
exp_0.3,9,neural_const,2088,0.25237058849350336,True,552.4955022969253,0.3,0.3,-0.04762941150649663,-0.04762941150649663
exp_0.3,9,neural_mlp,2088,0.18615030189279558,True,562.2774871602035,0.3,0.3,-0.11384969810720441,-0.11384969810720441
exp_0.6,0,classical_const,1940,0.6389486718299542,True,606.6836304102876,0.6,0.6,0.03894867182995421,0.03894867182995421
exp_0.6,0,classical_spline,1940,0.6240939965313255,True,609.1852587270291,0.6,0.6,0.02409399653132549,0.02409399653132549
exp_0.6,0,neural_const,1940,0.6106102268809215,True,609.8115725172265,0.6,0.6,0.010610226880921503,0.010610226880921503
exp_0.6,0,neural_mlp,1940,0.5826222172225056,True,613.6315765161028,0.6,0.6,-0.017377782777494355,-0.017377782777494355
exp_0.6,1,classical_const,2167,0.6532634629888178,True,905.5246765168677,0.6,0.6,0.05326346298881779,0.05326346298881779
exp_0.6,1,classical_spline,2167,0.6406333071496292,True,908.0215054587875,0.6,0.6,0.040633307149629205,0.040633307149629205
exp_0.6,1,neural_const,2167,0.6242808930015897,True,905.4519754525427,0.6,0.6,0.024280893001589754,0.024280893001589754
exp_0.6,1,neural_mlp,2167,0.6081248356266163,True,910.1888287632887,0.6,0.6,0.008124835626616367,0.008124835626616367
exp_0.6,2,classical_const,1835,0.6114135607494976,True,462.6147707663047,0.6,0.6,0.01141356074949762,0.01141356074949762
exp_0.6,2,classical_spline,1835,0.60193981313409,True,463.91084081300573,0.6,0.6,0.0019398131340899738,0.0019398131340899738
exp_0.6,2,neural_const,1835,0.584032003679679,True,470.99207512476346,0.6,0.6,-0.015967996320320976,-0.015967996320320976
exp_0.6,2,neural_mlp,1835,0.5570405966037355,True,476.62971973909794,0.6,0.6,-0.04295940339626447,-0.04295940339626447
exp_0.6,3,classical_const,2189,0.6598993357726735,True,890.4495673379843,0.6,0.6,0.05989933577267348,0.05989933577267348
exp_0.6,3,classical_spline,2189,0.6155999937176087,True,892.9385476781595,0.6,0.6,0.015599993717608673,0.015599993717608673
exp_0.6,3,neural_const,2189,0.5870406063175078,True,891.482872807032,0.6,0.6,-0.012959393682492215,-0.012959393682492215
exp_0.6,3,neural_mlp,2189,0.5672584672182531,True,896.4993997033584,0.6,0.6,-0.03274153278174685,-0.03274153278174685
exp_0.6,4,classical_const,1901,0.6193811020096196,True,482.9970095943704,0.6,0.6,0.019381102009619622,0.019381102009619622
exp_0.6,4,classical_spline,1901,0.5572978326618182,True,487.9062489763471,0.6,0.6,-0.04270216733818177,-0.04270216733818177
exp_0.6,4,neural_const,1901,0.6724544008798039,True,486.13309291631094,0.6,0.6,0.07245440087980393,0.07245440087980393
exp_0.6,4,neural_mlp,1901,0.520962920539906,True,494.27972096161943,0.6,0.6,-0.07903707946009397,-0.07903707946009397
exp_0.6,5,classical_const,1886,0.5830222045884585,True,515.0246808376519,0.6,0.6,-0.01697779541154143,-0.01697779541154143
exp_0.6,5,classical_spline,1886,0.5632907192037514,True,518.3786142608071,0.6,0.6,-0.03670928079624858,-0.03670928079624858
exp_0.6,5,neural_const,1886,0.5608628066409782,True,518.423107539164,0.6,0.6,-0.03913719335902177,-0.03913719335902177
exp_0.6,5,neural_mlp,1886,0.5298952359569711,True,520.8298372497288,0.6,0.6,-0.0701047640430289,-0.0701047640430289
exp_0.6,6,classical_const,1884,0.5854106597280057,True,481.16133357301874,0.6,0.6,-0.014589340271994322,-0.014589340271994322
exp_0.6,6,classical_spline,1884,0.571672808742051,True,483.6195242062754,0.6,0.6,-0.028327191257949025,-0.028327191257949025
exp_0.6,6,neural_const,1884,0.6479988882201697,True,483.07813949244314,0.6,0.6,0.04799888822016973,0.04799888822016973
exp_0.6,6,neural_mlp,1884,0.5448048268003028,True,488.3581358578558,0.6,0.6,-0.055195173199697134,-0.055195173199697134
exp_0.6,7,classical_const,1731,0.5554822112865444,True,288.65295290515587,0.6,0.6,-0.044517788713455575,-0.044517788713455575
exp_0.6,7,classical_spline,1731,0.5487037878903659,True,289.79663665879457,0.6,0.6,-0.05129621210963409,-0.05129621210963409
exp_0.6,7,neural_const,1731,0.5253517400866604,True,290.06808024804354,0.6,0.6,-0.07464825991333957,-0.07464825991333957
exp_0.6,7,neural_mlp,1731,0.5097908991484682,True,293.51957304797565,0.6,0.6,-0.09020910085153178,-0.09020910085153178
exp_0.6,8,classical_const,1938,0.5583358267642041,True,522.6276565729834,0.6,0.6,-0.041664173235795854,-0.041664173235795854
exp_0.6,8,classical_spline,1938,0.5492499060464895,True,524.811499420372,0.6,0.6,-0.05075009395351049,-0.05075009395351049
exp_0.6,8,neural_const,1938,0.5453159447121415,True,525.6195764136464,0.6,0.6,-0.05468405528785847,-0.05468405528785847
exp_0.6,8,neural_mlp,1938,0.5158343523335261,True,531.3847240386722,0.6,0.6,-0.08416564766647383,-0.08416564766647383
exp_0.6,9,classical_const,2037,0.5829926353395708,True,664.28564496885,0.6,0.6,-0.01700736466042918,-0.01700736466042918
exp_0.6,9,classical_spline,2037,0.5759425197423745,True,665.1818663561332,0.6,0.6,-0.02405748025762544,-0.02405748025762544
exp_0.6,9,neural_const,2037,0.5708291239085674,True,665.2952150643112,0.6,0.6,-0.02917087609143254,-0.02917087609143254
exp_0.6,9,neural_mlp,2037,0.49733487004838,True,673.9140636571863,0.6,0.6,-0.10266512995161997,-0.10266512995161997
exp_0.9,0,classical_const,2002,0.9115038875920479,True,1969.1867982668641,0.9,0.9,0.011503887592047901,0.011503887592047901
exp_0.9,0,classical_spline,2002,0.9069954614535259,True,1970.4717546079598,0.9,0.9,0.00699546145352592,0.00699546145352592
exp_0.9,0,neural_const,2002,0.9013775546316035,True,1977.2650268808522,0.9,0.9,0.0013775546316034948,0.0013775546316034948
exp_0.9,0,neural_mlp,2002,0.9039957122727533,True,1979.6187353604444,0.9,0.9,0.0039957122727533045,0.0039957122727533045
exp_0.9,1,classical_const,2902,0.9157928793364762,True,3644.493197622831,0.9,0.9,0.015792879336476218,0.015792879336476218
exp_0.9,1,classical_spline,2902,0.9042962272545669,True,3648.2235520328823,0.9,0.9,0.004296227254566909,0.004296227254566909
exp_0.9,1,neural_const,2902,0.9052068830302865,True,3646.5333347940636,0.9,0.9,0.005206883030286491,0.005206883030286491
exp_0.9,1,neural_mlp,2902,0.8832758548612138,True,3660.9271076167643,0.9,0.9,-0.016724145138786173,-0.016724145138786173
exp_0.9,2,classical_const,2425,0.9250692763828792,True,3013.762171441545,0.9,0.9,0.025069276382879147,0.025069276382879147
